Ctrl + U			转换成小写
Ctrl + Shift + U	转换成大写

Alt + 上下键	移动行
Alt + 鼠标选择区域				列编辑
Alt + Shift + 方向键选择区域	列编辑

Ctrl + Shift + L	删除选中行
Ctrl + Delete		删除句末空白

Ctrl + .	操作提示
Ctrl + ,	定位到某个文件
Ctrl + ]	定位到另一个括号（{},(),[]）
Ctrl + F4	关闭当前选项卡
Ctrl + G	定位到某一行
Ctrl + J	代码提示
Ctrl + L	剪切行
Ctrl + F	查找
Ctrl + H	替换

Alt + Shift + Enter		窗口最大化

Ctrl + Shift + Space	显示重载项

Ctrl+K,Ctrl+C		添加注释
Ctrl+K,Ctrl+U		取消注释
Ctrl+R,Ctrl+R		重命名
Ctrl+M,Ctrl+M		折叠/展开代码块

F3				向下查找（上次查找/替换的关键字）
Shift + F3		向上查找（上次查找/替换的关键字）
F12				转到定义
Shift + F12		查找引用
F9				添加/取消断点
